01/16/21 18:17:30 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:17:30   01030G43 PARIÑAS 220                       L-2168 PL2 RELE INDISPONIBLE    CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:17:31 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:17:31   01071025 LA_BREA 220                       L-2168 PL1 87L FLL CANAL         RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:17:32 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:17:32   01071025 LA_BREA 220                       L-2168 PL1 87L FLL CANAL         CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:17:33 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:17:33   01071026 LA_BREA 220                       L-2168 PL1 87L BLOQUEO           RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:17:34 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:17:34   01071026 LA_BREA 220                       L-2168 PL1 87L BLOQUEO           CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:17:40 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:17:40   03019705 TINGOMARIA 10                     L-1038 POT ACTIVA                RETORNO DE MEDIDA CONGELADA                    1.6       2

01/16/21 18:17:57 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:17:57   01030F59 PARIÑAS 220                       L-2168 PL1 FLL COM RELE         RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:17:58 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:17:58   01030F59 PARIÑAS 220                       L-2168 PL1 FLL COM RELE         CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:18:08 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:08   01030A22 PARIÑAS 220                      R-27 UAD FLL SYNC BAHIA          RETORNO A NORMAL                          INACTIVO       2

01/16/21 18:18:10 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:10            State Estimator                                                    State Estimator converged with violations                 7

01/16/21 18:18:14 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:14   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.1       4

01/16/21 18:18:16 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:16            FEP                               Medio Mundo Channel Group 14.MEDIO_MUNDO2b Channel reset from failed state          RESET           6

01/16/21 18:18:16 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-DEL:CLASS  01/16/21 18:18:16            FEP                               Medio Mundo Channel Group 14.MEDIO_MUNDO2b Channel now online                       ONLINE          6

01/16/21 18:18:17 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-DEL:CLASS  01/16/21 18:18:17            FEP                               Medio Mundo Channel Group 14.MEDIO_MUNDO2b Unable to open socket                    FAILED          6

01/16/21 18:18:17 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-DEL:CLASS  01/16/21 18:18:17            FEP                               Medio Mundo Channel Group 14     Channel Group Failed                     FAILED          6

01/16/21 18:18:18 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-DEL:CLASS  01/16/21 18:18:18            FEP                               Medio Mundo Channel Group 14.MEDIO_MUNDO1b Channel now online                       ONLINE          6

01/16/21 18:18:18 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-DEL:CLASS  01/16/21 18:18:18            FEP                               Medio Mundo Channel Group 14     Channel Group Online                     ONLINE          6

01/16/21 18:18:24 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:24   03065014 MOLLEPATA 220                     BARRA TENSION                    RETORNO A NORMAL                             230.9       4

01/16/21 18:18:26 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:18:26   03065014 MOLLEPATA 220                     BARRA TENSION                    LIMITE SUPERIOR 1 EXCEDIDO                   231.3       4

01/16/21 18:18:34 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:34   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.1       4

01/16/21 18:18:35 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:18:35   01030F41 PARIÑAS 220                       L-2168 PL1 25 DF EXCEDIDO       RETORNO A NORMAL                          INACTIVO       3

