rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_command,scan_type_init,scan_type_spont,nro_alertas
PIEDRAS BLAN,167035,54,835760,3535298,3,0,0,0
SOCABAYA,165700,102,858992,1180815,3,74,0,12
SANTUARIO,132381,88,692630,8581358,3,84,0,15
CVERDE,136902,125,685610,5516739,31,75,0,13
POMACO,220702,56,1104105,8066020,3,0,0,0
TOQUEPALA,14114,2968,122845,557077,3,38,0,3
CALLALLI,49551,145,254568,3293220,3,122,0,10
TOCACHE_N,1009896,0,758838,27695566,3,0,1009869,0
TINTAYA_N,591689,0,444654,17984243,3,0,591662,0
AZANGARO,166543,160,834735,2037143,8,125,0,18
AYAVIRI,42920,112,216470,4320734,11,75,0,15
MANTARO_N,4327155,0,3246276,139001233,3,0,4327128,0
SANROS_N,1628808,0,1222544,46676649,3,0,1628782,0
MOLLENDO,82294,508,421205,149031,3,4,0,0
MOQUEGUA,58328,1153,314835,874227,3,0,0,0
REPARTICION,77057,165,445874,5599552,12,99,0,14
TINGOMARIA,138981,6,695010,5382783,3,0,0,0
CALLAHUANCA,191895,277,962235,5708380,3,0,0,0
PACHACHACA,149425,112,748155,2869598,3,45,0,3
ZAPALLAL,235679,418,1180690,2580240,3,0,0,0
CHILCA1,209323,27,1047000,7141587,7,0,0,0
HUACHO,112412,166,563925,6935846,3,0,0,0
VENTANILLA,202539,205,1015045,6693438,5,0,0,0
COLCABAMBA,2511335,0,1884576,80282246,3,0,2511308,0
SURIRAY,1202517,0,902826,33696589,3,0,1202490,0
SANNICOLAS,81121,24460,527995,1592495,3,0,0,0
SOCABAYA_N,2012194,0,1510212,63617460,3,0,2012167,0
PARIÑAS,2679409,0,2010416,122024125,5,0,2679380,0
TRUJILLNUEV,144807,1438,743895,11802950,20,2,0,0
TINGOMARIA_N,481036,0,361464,17593855,3,0,481009,0
OROYA_N,1882776,0,1412658,53229646,3,0,1882749,0
HUANUCO,230687,15,1153680,4233328,6,0,0,0
HUAYUCACHI,273997,19,1370395,1728817,11,4,0,0
QUENCORO_N,2017580,0,1514928,56287215,3,0,2017553,0
OLLEROS,244421,463,1226275,2766788,3,0,0,0
LANINA_N,2209218,3,1659280,64826532,40,0,2209157,0
YARABAMBA,4177746,0,3134448,213177175,3,0,4177719,0
PARAGSHA2,90207,158,452640,1950795,3,4,0,0
AUCAYACU_N,498317,0,374418,18811611,3,0,498290,0
HUANCAVEL_N,2264682,0,1699480,63011467,4,0,2264654,0
CHAVARRIA,193243,975,1195797,2688975,3,0,0,0
PUNO_N,374590,0,282138,12320306,3,0,374563,0
JULIACA_N,149522,0,112962,5626269,3,0,149495,0
MARCONA,5770511,0,4329016,212010731,4,0,5770483,0
CARABAYLLO,254713,323,1280245,7478929,31,0,0,0
GUADALUPE_N,1576101,0,1183250,44072812,5,0,1576072,0
PARAGSHA_NVA,186988,355,938790,9118101,11,13,0,7
HUANUCO_N,1467896,0,1102108,39961345,3,1,1467868,0
CARHUAMAYO,189410,148,948725,8446661,3,0,0,0
PIURA2_N,3384055,0,2539806,96919944,10,2,3384019,0
CHIMBOTE1_N,183174,0,138220,11584628,10,0,183140,0
VIZCARRA,48294,3,241550,3183581,3,0,0,0
TINGOM_ETS_N,436297,0,328262,32871591,5,0,436268,0
PLANICIE,204870,238,1026815,6785821,3,0,0,0
DESIERTO,146607,142,733810,4849871,3,0,0,0
MOQUEGUA_N,89298,0,67416,4269117,3,0,89271,0
SANJUAN_N,587916,0,442552,16144236,5,2,587885,0
ICA,159366,80,798420,13253551,27,0,0,0
ZORRITOS_N,1052780,0,791460,29335710,12,0,1052744,0
MOLLEPATA,2210337,0,1658670,63193132,3,0,2210310,0
TALARA N,197488,0,149088,5372625,3,0,197461,0
CARAPONGO,706950,0,530706,30955314,5,1,706920,0
INDUSTRIALES,244931,0,184242,7223318,3,0,244904,0
CHIMBOTENVA_N,722638,0,543040,19863224,22,0,722592,0
INDEPE_N,1221606,1,916860,82470206,46,0,1221561,0
LA_BREA,779907,0,585612,22481267,3,0,779880,0
ABANCAY,1751428,0,1314870,48459750,3,0,1751401,0
REQUE,2541541,0,1907040,81258582,3,0,2541514,0
CHAVARRIA_N,882531,1,662876,25205203,5,0,882503,0
AMARILIS,82232,0,62154,10623281,3,0,82205,0
PUCALLPA_N,183841,0,138720,36576871,3,0,183814,0
AGUAYTIA_N,151645,0,114594,28819814,3,0,151618,0
PARAGSHA2_N,515481,0,387402,23690124,3,0,515454,0
COMBAPATA_N,4246170,0,3185550,141761084,3,0,4246143,0
PARAMONGA_N,2651129,0,1990056,76479642,21,0,2651084,0
CHICLAYO_N,2424732,2,1819650,89532142,14,0,2424696,0
TRUJILLO_N,2915710,16,2189466,102294374,45,6,2915651,0
POROMA,849656,0,638664,23663931,3,0,849629,0
COTARUSE_N,1611901,0,1209692,52574734,5,0,1611872,0
ORCOTUNA,1130867,0,848544,92497075,3,0,1130840,0
MONTALVO,366929,0,275946,10137370,3,0,366902,0
PAPUJUNE,63739,0,30618,4056498,3,0,63712,0
SOCABAYA_REP_N,1226691,0,920940,36936294,10,2,1226655,0
PIEDRAS BLAN,163171,58,816480,3497347,3,0,0,0
SOCABAYA,168966,0,875115,1136299,3,0,0,0
SANTUARIO,134021,0,700594,8742063,3,18,0,10
CVERDE,141299,2,706560,5530686,3,0,0,0
POMACO,220229,97,1102255,7835743,19,16,0,10
TOQUEPALA,12275,3016,114605,495555,7,51,0,17
CALLALLI,50453,0,258379,3361260,3,0,0,0
TOCACHE_N,917366,0,689322,25107943,3,0,917339,0
TINTAYA_N,585814,0,440204,17819211,3,0,585788,0
AZANGARO,170397,2,852140,2050917,9,0,0,0
AYAVIRI,43369,0,216980,4425322,6,0,0,0
MANTARO_N,4273396,0,3205962,137591552,3,0,4273369,0
SANROS_N,1646724,0,1236040,47247005,3,0,1646696,5
MOLLENDO,80311,569,412465,145062,3,9,0,0
MOQUEGUA,58314,1154,314810,872264,3,0,0,0
REPARTICION,79387,3,457549,5695770,3,0,0,0
TINGOMARIA,139434,2,697235,5379558,3,0,0,0
CALLAHUANCA,190756,321,957010,5715188,3,0,0,0
PACHACHACA,149314,90,747500,2865743,3,40,0,4
ZAPALLAL,237158,436,1188180,2449494,6,0,0,0
CHILCA1,210482,39,1055680,6947945,23,0,0,0
HUACHO,111930,189,561840,6930048,3,0,0,0
VENTANILLA,205713,218,1031030,6136287,7,0,0,0
COLCABAMBA,2498180,0,1874688,80130360,3,0,2498153,0
SURIRAY,1205827,0,905298,33767875,3,0,1205800,0
SANNICOLAS,81569,24217,529215,1577755,3,0,0,0
SOCABAYA_N,1982985,0,1488402,62854122,9,0,1982952,0
PARIÑAS,2671013,0,2004142,120573263,7,0,2670982,0
TRUJILLNUEV,143331,1450,732665,11485003,4,0,0,0
TINGOMARIA_N,483930,0,363624,17628250,3,0,483903,0
OROYA_N,1687479,0,1266180,47090140,3,0,1687452,0
HUANUCO,233703,66,1169725,3531220,5,64,0,20
HUAYUCACHI,275500,2,1377910,1735399,19,0,0,0
QUENCORO_N,2010168,0,1509356,56086975,5,0,2010139,0
OLLEROS,220556,464,1106890,2673288,3,0,0,0
LANINA_N,2079617,2,1561580,60828860,10,0,2079585,0
YARABAMBA,4154884,2,3117338,212958589,5,0,4154857,0
PARAGSHA2,89062,188,447195,1945595,3,3,0,0
AUCAYACU_N,502511,0,377544,18845962,3,0,502484,0
HUANCAVEL_N,2238375,8,1680008,62711205,25,0,2238334,0
CHAVARRIA,190175,1022,1191087,2688129,3,0,0,0
PUNO_N,369090,0,278002,12198125,4,0,369062,0
JULIACA_N,148326,0,112132,5263987,7,0,148295,0
MARCONA,5648900,1,4237860,210471252,6,0,5648871,0
CARABAYLLO,253170,299,1272210,7678287,19,0,0,0
GUADALUPE_N,1579469,0,1185850,44106175,13,0,1579432,0
PARAGSHA_NVA,181926,385,913775,8929153,15,0,0,0
HUANUCO_N,1462135,0,1097932,39873402,4,3,1462104,0
CARHUAMAYO,189020,134,946665,8504412,3,0,0,0
PIURA2_N,3387063,0,2542734,96961535,57,0,3386982,0
CHIMBOTE1_N,157352,0,118890,9544541,24,0,157304,0
VIZCARRA,48526,3,242720,3171541,3,0,0,0
TINGOM_ETS_N,439571,0,330710,33117834,5,0,439542,0
PLANICIE,203259,293,1019365,6828050,4,0,0,0
DESIERTO,144407,160,722890,4812984,3,0,0,0
MOQUEGUA_N,90004,0,67962,4318554,3,0,89977,0
SANJUAN_N,845655,0,635938,23434270,7,0,845624,0
ICA,160756,86,805860,12895030,32,0,0,0
ZORRITOS_N,907225,0,682312,25272867,10,0,907191,0
MOLLEPATA,2194155,0,1646508,62812383,3,0,2194128,0
TALARA N,193259,0,146226,5273386,3,0,193232,0
CARAPONGO,723273,1,542960,32326875,9,0,723241,0
INDUSTRIALES,252867,0,190140,7306656,3,0,252840,0
CHIMBOTENVA_N,693212,0,520874,19035816,20,0,693168,0
INDEPE_N,1179587,0,884936,79075070,14,0,1179573,0
LA_BREA,748514,0,562128,21486688,3,0,748487,0
ABANCAY,1747726,3,1312020,48519579,9,0,1747696,0
REQUE,2653491,0,1991022,85149492,3,0,2653464,0
CHAVARRIA_N,783306,1,588728,22360364,5,0,783278,0
AMARILIS,82321,0,62166,10751388,3,0,82294,0
PUCALLPA_N,178546,0,134760,35308599,3,0,178519,0
AGUAYTIA_N,144908,0,109518,27086028,3,0,144881,0
PARAGSHA2_N,523000,0,393006,24057305,3,0,522973,0
COMBAPATA_N,4208856,0,3157536,139985161,3,0,4208829,0
PARAMONGA_N,2667690,0,2002776,76707207,45,0,2667621,0
CHICLAYO_N,2536940,0,1903614,94011319,3,0,2536913,0
TRUJILLO_N,2894102,11,2173640,98744277,83,6,2894001,0
POROMA,825925,0,620874,23021414,3,0,825898,0
COTARUSE_N,1639096,0,1229976,53076684,3,0,1639069,0
ORCOTUNA,1131437,0,848982,92690883,3,0,1131410,0
MONTALVO,366098,0,275328,10119624,3,0,366071,0
PAPUJUNE,73435,0,42582,4694626,3,0,73408,0
SOCABAYA_REP_N,1260801,0,946398,38689449,3,0,1260774,0
PIEDRAS BLAN,167395,22,837240,3540340,3,0,0,0
SOCABAYA,169369,0,877130,1105829,3,0,0,0
SANTUARIO,135998,8,718105,8155466,17,24,0,7
CVERDE,141578,6,707995,5431666,3,0,0,0
POMACO,222989,32,1115360,7838677,7,0,0,0
TOQUEPALA,12608,3063,115695,498439,6,129,0,20
CALLALLI,50534,0,258742,3354124,3,0,0,0
TOCACHE_N,917544,0,689496,25175981,3,0,917517,0
