scans_total,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_command,scan_type_init
43606,43570,36,218285,4860757,4,0
45886,45838,48,229765,4668259,4,0
46049,46012,37,230660,4662767,3,4
44671,44606,65,227120,4714648,3,49
44704,44656,48,224005,4773335,3,4
44758,44708,50,224470,4766402,4,19
46359,46347,12,233015,4664035,8,0
47726,47693,33,238830,4548367,3,0
35970,35283,687,272955,3603854,9,1042
46523,46372,151,238330,4431572,4,111
49804,49583,221,255975,4143134,4,149
51775,51702,73,260595,4235519,3,6
46926,46615,311,240885,4274021,3,139
47830,47809,21,240560,4552053,9,0
47696,47647,49,238790,4528081,3,0
46532,46420,112,235470,4525904,8,9
44664,44226,438,227905,4278561,24,440
48912,48782,130,246655,4339271,3,42
46367,46198,169,233310,4498294,2,3
43201,42834,367,231215,4370378,4,221
39724,39107,617,222370,4229469,13,537
45274,45016,258,229120,4476201,5,71
40633,40225,408,209050,4166917,3,75
43391,43391,0,217015,4417326,3,0
44513,44513,0,222650,4320904,4,0
43656,43656,0,218985,4388492,3,3
44022,43973,49,220610,4319767,5,37
43786,43786,0,219015,4404284,4,0
43446,43314,132,218500,4146898,5,73
44281,44281,0,221490,4346594,4,0
44203,44200,3,222300,4336429,9,0
42968,42963,5,216200,4932913,11,0
43489,43475,14,217575,4893521,3,0
44731,44717,14,223945,4787294,3,4
44253,44225,28,221465,4816359,3,0
45956,45930,26,229950,4687167,3,0
45826,45801,25,229465,4696243,3,4
44317,44312,5,221675,4830898,3,0
44407,44382,25,222360,4799199,3,4
43736,43708,28,219755,4843553,6,6
43679,43613,66,221580,4797394,5,49
44108,44088,20,221325,4833222,6,0
43750,43690,60,219065,4814627,3,0
42347,42273,74,213710,4893420,3,35
42929,42762,167,221820,4683075,3,148
43399,43282,117,219435,4738031,3,49
44028,44015,13,220270,4847425,3,0
45005,44995,10,226425,4753457,3,6
44003,43987,16,220155,4845000,3,0
44426,44398,28,222330,4807232,3,0
45403,45358,45,227430,4698351,3,4
44351,44333,18,221905,4818633,3,0
45323,45293,30,226800,4728483,3,0
44869,44832,37,225430,4746248,3,8
42333,42126,207,217040,4736660,5,55
43983,43910,73,220325,4794337,3,0
42469,42427,42,216040,4800627,3,17
41549,41426,123,213175,4738360,5,74
42628,42584,44,214075,4922068,3,3
50137,50135,2,250755,4421167,3,0
45708,45704,4,228620,4734506,3,0
47591,47585,6,238070,4589014,4,0
48040,48040,0,240260,4564641,3,0
48519,48517,2,242665,4524380,3,0
47438,47281,157,245100,4368453,5,100
48222,48190,32,241490,4504403,4,4
46889,46883,6,235205,4626307,4,3
45605,45563,42,228245,4699107,3,0
43602,43549,53,218670,4836687,3,8
45712,45696,16,228855,4714735,3,4
48125,48121,4,240705,4548528,3,0
47783,47770,13,239200,4554064,3,4
47701,47680,21,239925,4556976,6,3
48416,48400,16,242220,4521275,3,0
48807,48776,31,244655,4469808,5,7
46703,46695,8,233635,4651330,4,0
43772,43720,52,220935,4693260,6,37
42520,42508,12,212745,4802899,4,0
43028,43002,26,215495,4744720,3,4
44316,44267,49,224075,4609727,3,53
44915,44903,12,224770,4624740,6,0
43939,43917,22,219885,4682241,5,0
41869,41689,180,218565,4580983,6,189
45965,45954,11,230065,4706994,3,0
45553,45514,39,228150,4705784,3,4
44897,44806,91,225915,4685762,3,38
44477,44448,29,222785,4791488,3,4
43407,43391,16,217185,4895312,3,0
43912,43906,6,219675,4876829,4,0
42297,42289,8,211610,4991438,4,0
43032,42920,112,216470,4320734,11,75
43369,43369,0,216980,4425322,6,0
43298,43298,0,216550,4438983,3,0
43576,43576,0,217940,4398783,3,0
40512,40482,30,202960,4174415,4,4
41557,41508,49,210395,4024231,11,34
47362,47362,0,236970,4090956,7,0
42883,42883,0,214475,4479199,3,0
43705,43705,0,218585,4397157,3,0
42719,42719,0,213655,4489332,3,0
42971,42971,0,214915,4460704,3,0
45300,45300,0,226560,4260277,3,0
43544,43544,0,218505,4404113,3,3
42998,42998,0,215150,4461920,7,0
42542,42538,4,212790,4496430,3,0
43946,43916,30,219985,4332788,3,21
42700,42687,13,213755,4466175,3,4
41391,41390,1,207025,4596817,3,0
40684,40604,80,205965,4554528,14,68
42859,42857,2,215645,4465202,7,3
41278,41239,39,206705,4562930,3,18
42514,42514,0,212630,4502371,3,0
41574,41574,0,207930,4581243,3,0
41485,41481,4,207505,4581281,3,0
40384,40384,0,201980,4695767,3,0
41437,41437,0,207245,4604482,3,0
40420,40102,318,204290,4341264,17,306
42439,42431,8,212910,4386670,3,3
30627,30191,436,214380,3738434,5,252
1781,1068,713,457285,2053963,9,1772
