rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
COLCABAMBA,2396507,0,1798490,77766072,0,3,5,1
PARAMONGA_N,2396257,0,1799102,67681683,0,33,2,1
PARIÑAS,2395201,0,1797524,107027669,0,5,9,1
LANINA_N,2388324,0,1793008,70077767,0,6,1,1
HUANCAVEL_N,2379903,2,1786142,66067330,0,22,2,1
PARAMONGA_N,2379873,0,1786784,67739218,0,34,1,1
PARAMONGA_N,2371143,0,1780350,67652303,0,41,1,1
PARAMONGA_N,2370961,0,1780340,67034798,0,37,4,1
COLCABAMBA,2359091,0,1771278,76308639,0,3,35,1
PARAMONGA_N,2358254,0,1770582,66787979,0,35,1,1
PARAMONGA_N,2353098,0,1766692,66795727,0,33,1,1
PARAMONGA_N,2351319,1,1765424,67223166,0,34,1,1
LANINA_N,2350896,0,1764904,69406574,0,6,1,1
LANINA_N,2350453,0,1764776,68965301,0,10,1,1
PARAMONGA_N,2348021,1,1763120,66988481,0,47,1,1
PARAMONGA_N,2340668,0,1757302,66228643,0,27,1,1
PARAMONGA_N,2336420,3,1755378,66841216,0,74,13,1
PARIÑAS,2335481,0,1752592,105965319,0,7,3,1
PARIÑAS,2333046,0,1750680,115268759,0,4,2,1
PARAMONGA_N,2321766,0,1742880,65655135,0,11,1,1
HUANCAVEL_N,2310279,0,1733720,64309351,0,4,1,1
COLCABAMBA,2295868,4,1723212,76535115,0,3,24,1
PARIÑAS,2251062,0,1689248,101090910,0,8,4,1
PARAMONGA_N,2240343,0,1682246,65401792,0,37,1,1
HUANCAVEL_N,2238834,0,1680112,61883015,0,3,1,1
PARAMONGA_N,2234828,0,1678662,66279958,0,72,4,1
COLCABAMBA,2225244,0,1669870,72305445,0,3,3,1
PARAMONGA_N,2220407,0,1667190,67515779,0,29,1,1
COLCABAMBA,2207564,11,1656754,74717395,0,8,22,1
MOLLEPATA,2204404,0,1654186,63132246,0,3,1,1
PARIÑAS,2201916,0,1652370,100769391,0,7,2,1
MOLLEPATA,2199817,0,1650934,63105323,0,3,1,1
MOLLEPATA,2196214,0,1647998,63073268,0,3,2,1
MOLLEPATA,2194528,2,1646732,63174918,0,3,3,1
MOLLEPATA,2194025,0,1646466,62940047,0,2,1,1
MOLLEPATA,2191191,15,1644948,63182376,0,20,14,1
MOLLEPATA,2191051,0,1644226,62583521,0,3,1,1
MANTARO_N,2190604,6,1645518,73435305,0,1,103,1
MOLLEPATA,2189827,0,1643326,62822293,0,3,1,1
MOLLEPATA,2189749,0,1643254,62724959,0,3,1,1
TRUJILLO_N,2189220,1,1646024,63177553,0,10,44,1
MOLLEPATA,2189151,0,1642842,62628950,0,13,2,1
MOLLEPATA,2185217,0,1639810,62886878,0,3,1,1
MOLLEPATA,2176994,1,1633668,62740127,0,3,3,1
MOLLEPATA,2175464,0,1632502,62848146,0,3,1,1
MOLLEPATA,2174670,0,1631872,62530995,0,3,1,1
HUANCAVEL_N,2171307,0,1629518,60068522,0,7,1,1
HUANCAVEL_N,2166214,0,1625704,59799903,0,5,2,1
MOLLEPATA,2162549,0,1622758,62707752,0,3,1,1
HUANCAVEL_N,2161338,0,1621978,60063675,0,3,1,1
PARIÑAS,2158867,2,1620386,97362585,0,10,15,1
MOLLEPATA,2147013,0,1611268,62189763,0,3,1,1
HUANCAVEL_N,2145997,0,1610666,59502572,0,10,1,1
HUANCAVEL_N,2112276,0,1585200,58626413,0,5,1,1
HUANCAVEL_N,2099175,0,1575310,58225958,0,3,1,1
PARAMONGA_N,2088437,0,1568056,63135626,0,21,1,1
PARAMONGA_N,2059176,0,1547092,57682986,0,93,1,1
HUANCAVEL_N,2058002,0,1544478,57293041,0,5,1,1
MOLLEPATA,2052339,0,1540178,59108005,0,3,6,1
PARAMONGA_N,2043053,0,1534586,59055614,0,55,1,1
PARAMONGA_N,2040854,0,1532562,56985367,0,38,1,1
HUANCAVEL_N,2032327,0,1525234,56602238,0,3,1,1
HUANCAVEL_N,2022687,0,1518070,56157741,0,6,1,1
MOLLEPATA,2019522,0,1515636,57948528,0,3,11,1
HUANCAVEL_N,2013579,0,1511180,55603830,0,4,1,1
HUANCAVEL_N,2006926,2,1506498,55552473,0,16,1,1
