Column1,Column2,Column3,Column4,Column5,Column8,Column14
01/16/21,16:33:43,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:33:44,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:33:46,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:33:50,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:33:51,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:33:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:33:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:33:59,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:01,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:02,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:04,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:06,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:06,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:06,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:11,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:12,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:29,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:29,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:29,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:30,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:30,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:30,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:32,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:34,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:35,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:36,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:36,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:46,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:47,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:48,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:48,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:34:49,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:53,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:34:56,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:34:56,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:01,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:02,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:04,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:06,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:07,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:11,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:12,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:25,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:26,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:27,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:28,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:29,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:29,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:30,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:30,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:30,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
01/16/21,16:35:31,rep1sca01,alrm_server[2680]:,rep1sca01,OSI_SYSTEM,AUTO-DEL:CLASS
