TIME,OSI_KEY,SE,POINT_NAME,MESSAGE,VALUE
6/03/2021 23:00,,FEP,JULIACA_N,Interrogation Group 0: 27 points did not update,IEC104
6/03/2021 23:00,,FEP,COLCABAMBA,Interrogation Group 0: 181 points did not update,IEC104
6/03/2021 23:00,,FEP,HUANUCO_N,Interrogation Group 0: 15 points did not update,IEC104
6/03/2021 23:00,,FEP,HUANCAVEL_N,Interrogation Group 0: 27 points did not update,IEC104
6/03/2021 23:00,,FEP,PUCALLPA_N,Interrogation Group 0: 89 points did not update,IEC104
6/03/2021 23:00,,FEP,TINGOM_ETS_N,Interrogation Group 0: 54 points did not update,IEC104
6/03/2021 23:00,3054009,CHIMBOTE 13.8,BARRA_A TENSION,RETORNO A NORMAL,14.2
6/03/2021 23:00,,FEP,POROMA,Interrogation Group 0: 165 points did not update,IEC104
6/03/2021 23:00,3054097,CHIMBOTE 220,Mod2ACP DELTA VOLTAJE,RETORNO DE MEDIDA CONGELADA,0.1
6/03/2021 23:00,,FEP,TINTAYA_N,Interrogation Group 0: 6 points did not update,IEC104
6/03/2021 23:00,,FEP,PARAMONGA_N,Interrogation Group 0: 39 points did not update,IEC104
6/03/2021 23:00,,FEP,SANJUAN_N,Interrogation Group 0: 206 points did not update,IEC104
6/03/2021 23:00,,FEP,MARCONA,Interrogation Group 0: 77 points did not update,IEC104
6/03/2021 23:00,3054094,CHIMBOTE 220,L-2216 DELTA VOLTAJE,RETORNO DE MEDIDA CONGELADA,0.1
6/03/2021 23:00,3054094,CHIMBOTE 220,L-2216 DELTA VOLTAJE,MEDIDA CONGELADA,0.1
6/03/2021 23:00,,FEP,CHIMBOTE1_N,Interrogation Group 0: 6 points did not update,IEC104
6/03/2021 23:00,,FEP,TINGOMARIA_N,Interrogation Group 0: 37 points did not update,IEC104
6/03/2021 23:00,,FEP,MANTARO_N,Interrogation Group 0: 71 points did not update,IEC104
6/03/2021 23:00,,FEP,AMARILIS,Interrogation Group 0: 16 points did not update,IEC104
6/03/2021 23:00,,FEP,OROYA_N,Interrogation Group 0: 9 points did not update,IEC104
6/03/2021 23:00,3054097,CHIMBOTE 220,Mod2ACP DELTA VOLTAJE,MEDIDA CONGELADA,0.1
6/03/2021 23:00,,FEP,REQUE,Interrogation Group 0: 35 points did not update,IEC104
6/03/2021 23:00,,FEP,PARIÑAS,Interrogation Group 0: 938 points did not update,IEC104
6/03/2021 23:00,,FEP,SOCABAYA_N,Interrogation Group 0: 170 points did not update,IEC104
6/03/2021 23:00,,FEP,AUCAYACU_N,Interrogation Group 0: 8 points did not update,IEC104
6/03/2021 23:00,1009421,TOCACHE 138,T129-121 SUBTENSION,RETORNO A NORMAL,INACTIVO
6/03/2021 23:00,,FEP,AGUAYTIA_N,Interrogation Group 0: 97 points did not update,IEC104
6/03/2021 23:00,,FEP,CARAPONGO,Interrogation Group 0: 1371 points did not update,IEC104
6/03/2021 23:00,2047054,MARCONA 60,T62-261 REG V AUT/MAN,CAMBIO DE ESTADO,INDETERMINADO
6/03/2021 23:00,1039576,YARABAMBA 500,L-5035 FP1 87L DISP R,CAMBIO DE ESTADO,ACTIVO
6/03/2021 23:00,,FEP,INDUSTRIALES,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,LANINA_N,Interrogation Group 0: 215 points did not update,IEC104
6/03/2021 23:00,,FEP,CHICLAYO_N,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,PUNO_N,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,MONTALVO,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,SURIRAY,Interrogation Group 0: 1339 points did not update,IEC104
6/03/2021 23:00,,FEP,COMBAPATA_N,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,MOLLEPATA,Interrogation Group 0: 444 points did not update,IEC104
6/03/2021 23:00,,FEP,SANROS_N,Interrogation Group 0: 10 points did not update,IEC104
6/03/2021 23:00,1009421,TOCACHE 138,T129-121 SUBTENSION,CAMBIO DE ESTADO,ACTIVO
6/03/2021 23:00,2060014,SANJUAN 220,L-2092 PL1 52 MANDO LOC/REM,OPERACIONES MULTIPLES,2 LOCAL
6/03/2021 23:00,,FEP,ZORRITOS_N,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,YARABAMBA,Interrogation Group 0: 224 points did not update,IEC104
6/03/2021 23:00,,FEP,ABANCAY,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,INDUSTRIALES,Interrogation Group 0: 335 points did not update,IEC104
6/03/2021 23:00,,FEP,LA_BREA,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,LA_BREA,Interrogation Group 0: 974 points did not update,IEC104
6/03/2021 23:00,,FEP,QUENCORO_N,Interrogation Group 0: 90 points did not update,IEC104
6/03/2021 23:00,,FEP,TOCACHE_N,Interrogation Group 0: 648 points did not update,IEC104
6/03/2021 23:00,,FEP,QUENCORO_N,Interrogation Group 0: 50 points did not update,IEC104
6/03/2021 23:00,,FEP,ORCOTUNA,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,PAPUJUNE,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,GUADALUPE_N,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,SANROS_N,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,MONTALVO,Interrogation Group 0: 22 points did not update,IEC104
6/03/2021 23:00,,FEP,CHAVARRIA_N,Interrogation Group 0: 439 points did not update,IEC104
6/03/2021 23:00,,FEP,SURIRAY,Interrogation Group 0 Timed Out,IEC104
6/03/2021 23:00,,FEP,ABANCAY,Interrogation Group 0: 962 points did not update,IEC104
