id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,enviados,fallidos,alarmas,duracion_int,tipo_evento
44288SOCABAYA_N,2012194,0,1510212,63617460,0,3,0,6,6,0,0,2
44288TRUJILLNUEV,144807,1438,743895,11802950,146223,20,2,1,1,0,0,2
44288LANINA_N,2209218,3,1659280,64826532,0,40,0,2,2,0,0,2
44288YARABAMBA,4177746,0,3134448,213177175,0,3,0,2,2,0,0,2
44288JULIACA_N,149522,0,112962,5626269,0,3,0,4,1,0,0,2
44288MARCONA,5770511,0,4329016,212010731,0,4,0,3,3,0,0,2
44288CARABAYLLO,254713,323,1280245,7478929,255005,31,0,16,1,0,0,2
44288PARAGSHA_NVA,186988,355,938790,9118101,187319,11,13,7,7,1,18,2
44288PIURA2_N,3384055,0,2539806,96919944,0,10,2,51,51,0,0,2
44288ICA,159366,80,798420,13253551,159419,27,0,8,8,0,0,2
44288CARAPONGO,706950,0,530706,30955314,0,5,1,3,3,0,0,2
44288CHIMBOTENVA_N,722638,0,543040,19863224,0,22,0,17,11,0,0,2
44288INDEPE_N,1221606,1,916860,82470206,0,46,0,11,11,0,0,2
44288PARAMONGA_N,2651129,0,1990056,76479642,0,21,0,21,16,0,0,2
44288TRUJILLO_N,2915710,16,2189466,102294374,0,45,6,58,35,3,74,2
44289SANTUARIO,134021,0,700594,8742063,132561,3,18,5,5,6,12,1
44289CARABAYLLO,253170,299,1272210,7678287,253450,19,0,8,1,0,0,2
44289PARAGSHA_NVA,181926,385,913775,8929153,182296,15,0,2,2,1,28,2
44289HUANUCO_N,1462135,0,1097932,39873402,0,4,3,3,1,0,0,2
44289PIURA2_N,3387063,0,2542734,96961535,0,57,0,11,9,0,0,2
44289ICA,160756,86,805860,12895030,160810,32,0,3,3,0,0,2
44289CARAPONGO,723273,1,542960,32326875,0,9,0,2,2,3,372,2
44289CHIMBOTENVA_N,693212,0,520874,19035816,0,20,0,25,11,0,0,2
44289INDEPE_N,1179587,0,884936,79075070,0,14,0,14,14,0,0,2
44289PARAMONGA_N,2667690,0,2002776,76707207,0,45,0,9,5,0,0,2
44289PAPUJUNE,73435,0,42582,4694626,0,3,0,9,9,0,0,2
44289SOCABAYA_REP_N,1260801,0,946398,38689449,0,3,0,9,1,0,0,2
44290MARCONA,5749984,0,4313604,211381656,0,3,0,5,4,0,0,2
44290PARAGSHA_NVA,188483,393,946665,9229467,188867,5,4,4,4,2,40,2
44290HUANUCO_N,1422039,0,1067712,38739639,0,6,0,6,2,0,0,2
44290PIURA2_N,3189616,0,2394132,90569689,0,15,0,138,34,0,0,2
44290ICA,158545,90,794395,13306803,158629,6,0,50,22,0,0,2
44290CARAPONGO,696765,0,523040,30999195,0,5,3,1,1,0,0,2
44290CHIMBOTENVA_N,565352,0,425162,15475016,0,29,0,25,13,0,0,2
44290INDEPE_N,1218747,0,914348,81245509,0,17,0,10,9,0,0,2
44290PARAMONGA_N,2561601,0,1922886,73126395,0,21,0,14,4,0,0,2
44290SOCABAYA_REP_N,1253636,0,941156,40541193,0,12,2,8,2,0,0,2
44291CHILCA1,210642,34,1056490,6849182,210649,27,0,5,1,0,0,2
44291TRUJILLNUEV,156492,1358,797820,10425832,157844,2,4,8,4,0,0,2
44291LANINA_N,2033910,0,1527228,59309051,0,3,0,11,10,0,0,2
44291PARAGSHA_NVA,188932,365,948685,9254587,189285,7,5,2,2,0,0,2
44291HUANUCO_N,1426167,0,1070862,38879144,0,9,0,3,1,1,290,1
44291PIURA2_N,3226113,0,2423488,92104329,0,148,0,162,51,0,0,2
44291ICA,166157,87,834085,11900217,166189,55,0,10,10,2,4556,2
44291CARAPONGO,709608,0,532654,30860607,0,4,0,9,4,1,118,2
44291CHIMBOTENVA_N,567108,0,426442,15572961,0,28,0,7,5,0,0,2
44291INDEPE_N,1190493,0,893098,79603955,0,13,0,25,23,0,0,2
44291PARAMONGA_N,2560341,0,1922062,72891509,0,31,0,15,7,0,0,2
44291SOCABAYA_REP_N,1277226,0,958832,40835600,0,11,0,1,1,0,0,2
44292TRUJILLNUEV,143943,1417,736420,11275142,145349,11,0,5,5,1,52,2
44292LANINA_N,2308519,0,1733466,67905256,0,15,0,3,3,0,0,2
44292HUANUCO_N,1431009,0,1074478,39011515,0,7,0,3,1,1,180,1
44292PIURA2_N,3647519,0,2739602,106742010,0,164,0,82,38,0,0,2
44292ICA,156088,469,786750,11386961,156160,16,381,18,18,1,206,2
44292CARAPONGO,661817,0,496900,28738983,0,12,1,5,3,0,0,2
44292CHIMBOTENVA_N,704173,0,528976,19369225,0,10,0,21,10,0,0,2
44292INDEPE_N,1154244,0,866128,78766961,0,28,0,24,23,3,116,1
44292PARAMONGA_N,2531762,0,1900680,72086752,0,33,0,9,7,0,0,2
44292SOCABAYA_REP_N,1410789,1,1059160,46249575,0,3,13,8,4,0,0,2
44293VENTANILLA,200314,266,1004525,6642018,200577,3,0,7,1,0,0,2
