id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_init,enviados,fallidos,alarmas,duracion_int,tipo_evento
44288POMACO,220702,56,1104105,8066020,0,2,0,3,106,0
44288AZANGARO,166543,160,834735,2037143,125,2,0,0,0,0
44288AYAVIRI,42920,112,216470,4320734,75,3,0,0,0,0
44288ZAPALLAL,235679,418,1180690,2580240,0,3,0,0,0,0
44288CHILCA1,209323,27,1047000,7141587,0,20,0,0,0,0
44288VENTANILLA,202539,205,1015045,6693438,0,2,0,0,0,0
44255SOCABAYA_REP_N,49796,0,16582,1555570,14,21,3,0,0,2
44288HUAYUCACHI,273997,19,1370395,1728817,4,10,0,0,0,0
44288QUENCORO_N,2017580,0,1514928,56287215,0,2,0,0,0,0
44263PAPUJUNE,58169,0,24106,3730457,2,9,1,0,0,2
44288HUANCAVEL_N,2264682,0,1699480,63011467,0,3,0,0,0,0
44288PUNO_N,374590,0,282138,12320306,0,1,0,0,0,0
44289PAPUJUNE,73435,0,42582,4694626,0,9,9,0,0,2
44264PAPUJUNE,74823,0,45042,4434373,0,20,6,80,6072,2
44288GUADALUPE_N,1576101,0,1183250,44072812,0,5,0,0,0,0
44334MOQUEGUA_N,96454,0,72806,4825566,1,9,1,0,0,2
44233JULIACA_N,149436,0,112896,5715380,0,3,1,0,0,2
44288TINGOM_ETS_N,436297,0,328262,32871591,0,2,0,0,0,0
44288PLANICIE,204870,238,1026815,6785821,0,1,0,0,0,0
44288SANJUAN_N,587916,0,442552,16144236,2,2,0,0,0,0
44288ZORRITOS_N,1052780,0,791460,29335710,0,7,0,0,0,0
44288JULIACA_N,149522,0,112962,5626269,0,4,1,0,0,2
44329AGUAYTIA_N,150822,2,114660,28597072,19,21,1,0,0,2
44288CHAVARRIA_N,882531,1,662876,25205203,0,1,0,0,0,0
44221JULIACA_N,154461,0,116664,5611577,0,8,6,0,0,2
44289POMACO,220229,97,1102255,7835743,16,2,0,0,0,0
44289AZANGARO,170397,2,852140,2050917,0,3,0,0,0,0
44289ZAPALLAL,237158,436,1188180,2449494,0,3,0,0,0,0
44289CHILCA1,210482,39,1055680,6947945,0,22,0,0,0,0
44289VENTANILLA,205713,218,1031030,6136287,0,1,0,0,0,0
44289GUADALUPE_N,1579469,0,1185850,44106175,0,2,0,0,0,0
44277JULIACA_N,155377,0,117462,5715849,0,4,1,0,0,2
44208JULIACA_N,156428,0,118186,5951302,1,1,1,0,0,2
44289TINGOM_ETS_N,439571,0,330710,33117834,0,2,0,0,0,0
44289PLANICIE,203259,293,1019365,6828050,0,1,0,7,7442,0
44289SANJUAN_N,845655,0,635938,23434270,0,4,0,0,0,0
44289ZORRITOS_N,907225,0,682312,25272867,0,4,0,0,0,0
44310AGUAYTIA_N,156495,0,118282,30108553,0,2,1,0,0,2
44283AGUAYTIA_N,158524,0,119730,30535119,0,7,7,0,0,2
44266JULIACA_N,158624,0,119784,6073123,0,14,14,0,0,2
44289TRUJILLO_N,2894102,11,2173640,98744277,6,2,0,0,0,0
44289COTARUSE_N,1639096,0,1229976,53076684,0,1,0,0,0,0
44204JULIACA_N,159897,0,120988,6158251,2,1,1,0,0,2
44319JULIACA_N,162299,0,122544,5933318,0,3,3,0,0,2
44290AZANGARO,170673,1,853530,2029242,0,2,0,0,0,0
44290SANROS_N,1616007,0,1212978,46439012,0,4,0,0,0,0
44290ZAPALLAL,237625,493,1190750,2408715,0,9,0,0,0,0
44290CHILCA1,210908,35,1057805,6839655,0,22,0,0,0,0
44290VENTANILLA,206545,228,1035275,5986625,0,3,0,0,0,0
44290JULIACA_N,151409,0,114378,5630781,0,1,0,0,0,0
44331JULIACA_N,163072,0,123150,6300492,0,5,2,0,0,2
44290CARABAYLLO,256930,324,1289045,7302916,0,13,0,1,5638,0
44290GUADALUPE_N,1503389,0,1128964,42013095,0,2,0,0,0,0
44300JULIACA_N,164354,0,124126,6300229,1,4,1,0,0,2
44305JULIACA_N,170210,0,128482,6321048,0,2,2,0,0,2
44329TALARA N,175019,7,132336,4776518,9,38,30,0,0,2
44290TINGOM_ETS_N,436697,0,328556,32742081,0,2,0,0,0,0
44290PLANICIE,195762,879,984755,5097730,645,3,0,0,0,0
44290SANJUAN_N,908177,0,682722,25089259,0,2,0,0,0,0
44290ZORRITOS_N,895381,0,673420,24930751,0,5,0,0,0,0
44290TALARA N,191598,0,144996,5227100,0,2,0,0,0,0
44330TALARA N,177129,0,134920,4829333,0,2,1,0,0,2
44321TALARA N,179935,0,135918,4906531,0,2,2,0,0,2
44322TALARA N,179925,0,136036,4908139,0,3,2,0,0,2
44323TALARA N,183022,0,138354,4991254,0,2,1,0,0,2
44290TRUJILLO_N,2989230,0,2243790,101369335,0,2,0,0,0,0
44309TALARA N,188793,0,143068,5147471,0,9,2,0,0,2
44291POMACO,220363,43,1102285,8124233,0,2,0,1,58,0
44291AZANGARO,170157,0,850905,2062652,0,1,0,1,388,0
44291AYAVIRI,43576,0,217940,4398783,0,1,0,0,0,0
44291SANROS_N,1637249,0,1228948,46918829,0,1,0,0,0,0
44291ZAPALLAL,237132,518,1188595,2431473,0,3,0,0,0,0
44291VENTANILLA,206526,218,1035100,6028379,0,3,0,0,0,0
44291HUAYUCACHI,275898,0,1379620,1681494,0,2,0,0,0,0
44269PUCALLPA_N,191606,0,144552,38378065,0,31,10,1,90,2
44291JULIACA_N,150530,0,113740,5481779,0,2,0,0,0,0
44291MARCONA,5580945,0,4186904,209276275,0,2,0,0,0,0
44291CARABAYLLO,240561,792,1209990,7063345,485,20,0,0,0,0
44291GUADALUPE_N,1477013,0,1108846,41294110,0,3,0,0,0,0
44313TALARA N,195760,0,147898,5333318,0,8,2,0,0,2
44291TINGOM_ETS_N,434473,0,326870,32595273,0,2,0,2,12,0
44291PLANICIE,215423,254,1079865,5475599,0,1,0,3,1297,0
44291SANJUAN_N,1031412,0,775118,28491649,0,2,0,1,2,0
44291ZORRITOS_N,776795,0,584486,21631372,0,20,0,0,0,0
44291TALARA N,189356,0,143254,5161074,0,2,0,0,0,0
44316TALARA N,197672,0,149346,5387672,0,3,1,0,0,2
44315TALARA N,197563,0,149410,5386562,1,3,1,0,0,2
44306TALARA N,198802,0,150436,5414842,0,8,2,4,1368,2
44291CHAVARRIA_N,753335,0,566034,21663649,0,2,0,0,0,0
44291AGUAYTIA_N,138406,0,104682,25524701,0,1,0,0,0,0
44333JULIACA_N,199989,0,150844,7579204,1,3,1,0,0,2
44291TRUJILLO_N,2888757,0,2168270,93968504,0,2,0,0,0,0
44291COTARUSE_N,1637769,0,1229076,52854745,0,1,0,0,0,0
44283PUCALLPA_N,200644,0,151326,40772543,0,13,8,0,0,2
44292AZANGARO,138491,70,693400,1837954,30,2,0,2,868,0
44292AYAVIRI,40482,30,202960,4174415,4,5,0,0,0,0
44292SANROS_N,1664209,0,1249150,48134441,0,4,0,1,4,0
44292CHILCA1,209881,31,1049770,7034445,0,2,0,0,0,0
44292HUAYUCACHI,274762,12,1374065,1732898,0,4,0,0,0,0
44308TALARA N,201632,0,152328,5491967,0,11,8,0,0,2
44292CARABAYLLO,253802,286,1272660,8119856,0,22,0,0,0,0
44303TALARA N,202427,0,152796,5508068,0,6,6,0,0,2
44292TINGOM_ETS_N,369700,0,278310,27006264,1,2,0,0,0,0
44292PLANICIE,200745,421,1007495,6578242,120,4,0,1,20,0
44292SANJUAN_N,869366,1,653994,24058619,6,2,0,0,0,0
44292ZORRITOS_N,976139,0,734186,27184456,0,14,0,0,0,0
44292TALARA N,200380,0,151240,5448860,0,2,0,0,0,0
44248PUCALLPA_N,204183,0,153972,41652813,0,30,24,1,107,2
44327TALARA N,203770,0,154176,5555913,0,7,1,0,0,2
44292CHAVARRIA_N,887120,2,666406,25175524,0,2,0,0,0,0
44236PUCALLPA_N,204615,0,154284,41200670,0,4,4,0,0,2
44293AZANGARO,135647,98,679605,1800032,74,2,0,0,0,0
44293AYAVIRI,41508,49,210395,4024231,34,4,0,0,0,0
44293ZAPALLAL,236356,664,1185265,2494606,0,4,0,1,2328,0
44241AGUAYTIA_N,274135,3,206218,56315525,4,1,1,0,0,1
44209LA_BREA,274281,1,206530,7855977,17,13,4,0,0,1
44293HUAYUCACHI,275311,4,1376825,1692288,0,8,0,0,0,0
44293QUENCORO_N,2016930,0,1514466,56208759,0,2,0,0,0,0
44314TALARA N,204897,0,154738,5568443,0,3,2,0,0,2
44334TALARA N,205118,0,155228,5588721,1,2,2,0,0,2
44313AYAVIRI,41437,0,207245,4604482,0,6,1,1,3904,1
44245PUCALLPA_N,210403,0,158872,43055205,2,9,4,0,0,2
44321PUCALLPA_N,215931,0,162832,44082747,0,1,1,0,0,2
44226PUCALLPA_N,216461,0,163176,44167400,0,17,4,0,0,2
44293TINGOM_ETS_N,312619,0,235496,21977128,0,3,0,1,1,0
44293SANJUAN_N,923968,0,694628,25558902,0,2,0,0,0,0
44210INDEPE_N,281907,0,211518,12501240,0,36,1,7,34,1
44293ZORRITOS_N,998147,0,750608,27796119,0,16,0,0,0,0
44224TALARA N,216804,0,163860,5909668,0,1,1,0,0,2
44319TALARA N,218584,0,165108,5955466,0,4,1,0,0,2
44228AYAVIRI,42289,8,211610,4991438,0,2,1,0,0,1
44293CHAVARRIA_N,926516,0,696202,26533399,0,4,0,0,0,0
44219LA_BREA,232176,0,174734,6683632,11,31,14,0,0,2
44293CHICLAYO_N,1754047,0,1316520,61728952,0,7,0,0,0,0
44220AYAVIRI,43917,22,219885,4682241,0,1,1,0,0,1
44335AYAVIRI,38226,22,191420,4587956,0,6,1,0,0,2
44294AZANGARO,170105,0,850635,2040397,0,3,0,0,0,0
44323AYAVIRI,41143,0,205800,4629794,0,6,2,0,0,2
44294SANROS_N,1764727,0,1324500,51689431,0,4,0,0,0,0
44211INDEPE_N,294154,0,220924,12987509,1,63,1,7,36,1
44209INDEPE_N,279008,0,209346,12223764,0,14,2,0,0,2
